SerialNo,Season,Name,Role,Price,Team
440,2020,Robin Uthappa,Batsman,30000000.0, Rajasthan Royals
441,2020,Jaydev Unadkat,Bowler,30000000.0, Rajasthan Royals
442,2020,Yashasvi Jaiswal,All-Rounder,24000000.0, Rajasthan Royals
443,2020,Kartik Tyagi,Bowler,13000000.0, Rajasthan Royals
444,2020,Tom Curran,All-Rounder,10000000.0, Rajasthan Royals
445,2020,Andrew Tye,Bowler,10000000.0, Rajasthan Royals
446,2020,Anuj Rawat,Wicket Keeper,8000000.0, Rajasthan Royals
447,2020,David Miller,Batsman,7500000.0, Rajasthan Royals
448,2020,Oshane Thomas ,Bowler,5000000.0, Rajasthan Royals
449,2020,Anirudha Ashok Joshi,All-Rounder,2000000.0, Rajasthan Royals
450,2020,Akash Singh,Bowler,2000000.0, Rajasthan Royals
451,2020,Christopher Morris,All-Rounder,100000000.0, Royal Challengers Bangalore
452,2020,Aaron Finch,Batsman,44000000.0, Royal Challengers Bangalore
453,2020,Kane Richardson,Bowler,40000000.0, Royal Challengers Bangalore
454,2020,Dale Steyn,Bowler,20000000.0, Royal Challengers Bangalore
455,2020,Isuru Udana,All-Rounder,5000000.0, Royal Challengers Bangalore
456,2020,Shahbaz Ahamad,Wicket Keeper,2000000.0, Royal Challengers Bangalore
457,2020,Joshua Philippe,Wicket Keeper,2000000.0, Royal Challengers Bangalore
458,2020,Pavan Deshpande,All-Rounder,2000000.0, Royal Challengers Bangalore
459,2020,Mitchell Marsh,All-Rounder,20000000.0, Sunrisers Hyderabad
460,2020,Priyam Garg,Batsman,19000000.0, Sunrisers Hyderabad
461,2020,Virat Singh,Batsman,19000000.0, Sunrisers Hyderabad
462,2020,Fabian Allen,All-Rounder,5000000.0, Sunrisers Hyderabad
463,2020,Sandeep Bavanaka,All-Rounder,2000000.0, Sunrisers Hyderabad
464,2020,Sanjay Yadav,All-Rounder,2000000.0, Sunrisers Hyderabad
465,2020,Abdul Samad,All-Rounder,2000000.0, Sunrisers Hyderabad
466,2019,Colin Ingram,Batsman,64000000.0, Delhi Capitals
467,2019,Axar Rajesh Patel,All-Rounder,50000000.0, Delhi Capitals
468,2019,Hanuma Vihari,Batsman,20000000.0, Delhi Capitals
469,2019,Sherfane Rutherford,All-Rounder,20000000.0, Delhi Capitals
470,2019,Ishant Sharma,Bowler,11000000.0, Delhi Capitals
471,2019,Keemo Paul,All-Rounder,5000000.0, Delhi Capitals
472,2019,Jalaj Saxena,All-Rounder,2000000.0, Delhi Capitals
473,2019,Ankush Bains,Wicket Keeper,2000000.0, Delhi Capitals
474,2019,Nathu Singh,Bowler,2000000.0, Delhi Capitals
475,2019,Bandaru Ayyappa,Bowler,2000000.0, Delhi Capitals
476,2019,Varun Chakaravarthy,All-Rounder,84000000.0,Kings XI Punjab
477,2019,Sam Curran,All-Rounder,72000000.0,Kings XI Punjab
478,2019,Mohammad Shami,Bowler,48000000.0,Kings XI Punjab
479,2019,Prabhsimran Singh,Wicket Keeper,48000000.0,Kings XI Punjab
480,2019,Nicolas Pooran,Wicket Keeper,42000000.0,Kings XI Punjab
481,2019,Moises Henriques,All-Rounder,10000000.0,Kings XI Punjab
482,2019,Hardus Viljoen,Bowler,7500000.0,Kings XI Punjab
483,2019,Darshan Nalkande,All-Rounder,3000000.0,Kings XI Punjab
484,2019,Sarfaraz Naushad Khan,All-Rounder,2500000.0,Kings XI Punjab
485,2019,Arshdeep Singh ,Bowler,2000000.0,Kings XI Punjab
486,2019,Agnivesh Ayachi,All-Rounder,2000000.0,Kings XI Punjab
487,2019,Harpreet Brar,All-Rounder,2000000.0,Kings XI Punjab
488,2019,M. Ashwin,Bowler,2000000.0,Kings XI Punjab
489,2019,Carlos Brathwaite,All-Rounder,50000000.0, Kolkata Knight Riders
